1,A Dijiang,M
2,A Lamusi,M
3,Gunnar Nielsen Aaby,M
4,Edgar Lindenau Aabye,M
5,Christine Jacoba Aaftink,F
6,Per Knut Aaland,M
7,John Aalberg,M
8,"Cornelia ""Cor"" Aalten (-Strannood)",F
9,Antti Sami Aalto,M
10,"Einar Ferdinand ""Einari"" Aalto",M
11,Jorma Ilmari Aalto,M
12,Jyri Tapani Aalto,M
13,Minna Maarit Aalto,F
14,Pirjo Hannele Aalto (Mattila-),F
15,Arvo Ossian Aaltonen,M
16,Juhamatti Tapio Aaltonen,M
17,Paavo Johannes Aaltonen,M
18,Timo Antero Aaltonen,M
19,Win Valdemar Aaltonen,M
20,Kjetil Andr Aamodt,M
21,Ragnhild Margrethe Aamodt,F
22,Andreea Aanei,F
23,Fritz Aanes,M
24,Nils Egil Aaness,M
25,Alf Lied Aanning,M
26,Agnes Erika Aanonsen (-Eyde),F
27,Johan Aantjes,M
28,Jan-Erik Aarberg,M
29,Willemien Aardenburg,F
30,Pepijn Aardewijn,M
31,Evald rma (rman-),M
32,Olav Augunson Aarnes,M
33,Mika Lauri Aarnikka,M
34,Jamale (Djamel-) Aarrass (Ahrass-),M
35,Dagfinn Sverre Aarskog,M
36,Stefan Remco Aartsen,M
37,Ann Kristin Aarnes,F
38,Karl Jan Aas,M
39,Lars Thorlaksn Aas,M
40,Roald Edgar Aas,M
41,Rolf Aas,M
42,Thomas Valentin Aas,M
43,Morten Gjerdrum Aasen,M
44,Meelis Aasme,M
45,Hakon Aasns,M
46,Hans Aasns,M
47,Erling Rudolf Aastad,M
48,Abdelhak Aatakni,M
49,Moonika Aava,F
50,Arvi Aavik,M
51,Nstor Abad Sanjun,M
52,Patrick Abada,M
53,Talaat Abada,M
54,Mohamed Jamshid Abadi,M
55,Antonio Abadia Beci,M
56,Ren Abadie,M
57,Borislav Abadzhiev,M
58,Georgi Abadzhiev,M
59,Ivan Nikolov Abadzhiev,M
60,Mikhail Abadzhiev,M
61,Stefan Abadzhiev,M
62,Giovanni Abagnale,M
63,Jos Luis Abajo Gmez,M
64,M'Bairo Abakar,M
65,Patimat Abakarova,F
66,Mohamed Abakkar,M
67,Mariya Vasilyevna Abakumova (-Tarabina),F
68,Pablo Martn Abal,M
69,Tamara Abalde Daz,F
70,Jess Iory Aball Martnez,M
71,Juan Antonio Aball Delgado,M
72,Aleksey Aleksandrovich Abalmasov,M
73,Luc Abalo,M
74,Mara Laura Abalo,F
75,Giorgos Abalof,M
76,Jouan Patrice Abanda Etong,M
77,Antoine Abang,M
78,Salim Abanoz,M
79,Carlos Abarca Gonzlez,M
80,Jos Mara Abarca Plotas,M
81,Georgios Abaris,M
82,Enrique Abaroa Martnez,M
83,Carlos Arturo Abarza Chavez,M
84,Stephen Anthony Abas,M
85,Alejandro Abascal Garca,M
86,Jos Manuel Abascal Gmez,M
87,Rost'om Omeris dze Abashidze,M
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F
89,Rodrigo Abasolo,M
90,Tamila Rashidovna Abasova,F
91,Emanuele Abate,M
92,Ignazio Abate,M
93,Jol Marc Abati,M
94,Ral Abatte,M
95,Georgia Abatzidou,F
96,Carlos Rodolfo Abaunza Balladares,M
97,Carlos Alberto Abaunza,M
98,Hctor Abaunza,M
99,Pter Abay,M
100,Oszkr Abay-Nemes,M
101,Adeyemi Abayomi,M
102,Sayed Fahmy Abaza,M
103,Silvano Abba,M
104,Gana Abba Kimet,M
105,Ilyas Abbadi,M
106,Agostino Abbagnale,M
107,Carmine Abbagnale,M
108,Giuseppe Abbagnale,M
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M
110,Abubakar Abbas Abbas,M
111,Aqarab Abbas,M
112,Aziz Abbas,M
113,Bassim Abbas Kati Al-Ogaili,M
114,Essa Abbas Faleh Hashem,M
115,Ghulam Abbas,M
116,Hosni Mohamed Abbas,M
117,Maher Abbas,M
118,Mahmoud Abbas,M
119,Mohamed Fakhry Rifaat Abbas,M
120,Mohammed Abbas Sabih,M
121,Muhammad Abbas,M
122,Nader Sufyan Abbas,M
123,Sohail Abbas,M
124,Youssef Mohamed Abbas,M
125,Zulkifli Abbas,M
126,Forough Abbasi,F
127,Shakeel Abbasi,M
128,Soulmaz Abbasi Azad,F
129,Ruslan Abbasov,M
130,Tural Abbasov,M
131,Tran Abbasova,F
132,Simona Abbate,F
133,Franz Abb,M
134,Christian Abbiati,M
135,Lois Abbingh,F
136,Alessandro Abbio,M
137,Giordano Giulio Abbondati,M
138,Salwan Jasim Abbood Abbood,M
139,"George ""Ioannis"" Abbot",M
140,"William ""Bill"" Abbott Jr.",M
141,Clare Abbott,F
142,"David ""Dave"" Abbott",M
143,"Desmond ""Des"" Abbott",M
144,Geoffrey Grant Abbott,M
145,Jeremy Abbott,M
146,Jeremy Abbott,M
147,Joanne Abbott,F
148,"Kathryn ""Katie"" Abbott",F
149,Mara Katherine Abbott,F
150,Margaret Ives Abbott (-Dunne),F
151,Mary Perkins Ives Abbott (Perkins-),F
152,Matt Abbott,M
153,Monica Cecilia Abbott,F
154,Khadija Abbouda,F
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M
156,Mahmoud Abd El-Kader,M
157,Mohamed Ibrahim Abd El-Salam,M
158,Noha Abd Rabo,F
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F
160,Ali Abdalla Afringi,M
161,Hossam Abdalla,M
162,Hosam Abdallah,M
