1,Basketball,Basketball Men's Basketball
2,Judo,Judo Men's Extra-Lightweight
3,Football,Football Men's Football
4,Tug-Of-War,Tug-Of-War Men's Tug-Of-War
5,Speed Skating,Speed Skating Women's 500 metres
6,Speed Skating,"Speed Skating Women's 1,000 metres"
7,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres
8,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres
9,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit
10,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay
11,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres
12,Athletics,Athletics Women's 100 metres
13,Athletics,Athletics Women's 4 x 100 metres Relay
14,Ice Hockey,Ice Hockey Men's Ice Hockey
15,Swimming,Swimming Men's 400 metres Freestyle
16,Badminton,Badminton Men's Singles
17,Sailing,Sailing Women's Windsurfer
18,Biathlon,Biathlon Women's 7.5 kilometres Sprint
19,Swimming,Swimming Men's 200 metres Breaststroke
20,Swimming,Swimming Men's 400 metres Breaststroke
21,Gymnastics,Gymnastics Men's Individual All-Around
22,Gymnastics,Gymnastics Men's Team All-Around
23,Gymnastics,Gymnastics Men's Floor Exercise
24,Gymnastics,Gymnastics Men's Horse Vault
25,Gymnastics,Gymnastics Men's Parallel Bars
26,Gymnastics,Gymnastics Men's Horizontal Bar
27,Gymnastics,Gymnastics Men's Rings
28,Gymnastics,Gymnastics Men's Pommelled Horse
29,Athletics,Athletics Men's Shot Put
30,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event"
31,Alpine Skiing,Alpine Skiing Men's Downhill
32,Alpine Skiing,Alpine Skiing Men's Super G
33,Alpine Skiing,Alpine Skiing Men's Giant Slalom
34,Alpine Skiing,Alpine Skiing Men's Slalom
35,Alpine Skiing,Alpine Skiing Men's Combined
36,Handball,Handball Women's Handball
37,Weightlifting,Weightlifting Women's Super-Heavyweight
38,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman"
39,Speed Skating,Speed Skating Men's 500 metres
40,Speed Skating,"Speed Skating Men's 1,500 metres"
41,Gymnastics,"Gymnastics Men's Team All-Around, Free System"
42,Luge,Luge Women's Singles
43,Water Polo,Water Polo Men's Water Polo
44,Sailing,Sailing Mixed Three Person Keelboat
45,Hockey,Hockey Women's Hockey
46,Rowing,Rowing Men's Lightweight Double Sculls
47,Athletics,Athletics Men's Pole Vault
48,Athletics,Athletics Men's High Jump
49,Sailing,Sailing Men's Two Person Dinghy
50,Athletics,"Athletics Men's 1,500 metres"
51,Bobsleigh,Bobsleigh Men's Four
52,Swimming,Swimming Men's 100 metres Butterfly
53,Swimming,Swimming Men's 200 metres Butterfly
54,Swimming,Swimming Men's 4 x 100 metres Medley Relay
55,Football,Football Women's Football
56,Fencing,"Fencing Men's Foil, Individual"
57,Fencing,"Fencing Men's epee, Individual"
58,Fencing,"Fencing Men's epee, Team"
59,Speed Skating,"Speed Skating Men's 5,000 metres"
60,Speed Skating,"Speed Skating Men's 10,000 metres"
61,Sailing,Sailing Mixed 8 metres
62,Equestrianism,"Equestrianism Mixed Jumping, Individual"
63,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres
64,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
65,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
66,Shooting,Shooting Men's Trap
67,Athletics,Athletics Men's 4 x 100 metres Relay
68,Athletics,Athletics Men's Long Jump
69,Boxing,Boxing Men's Light-Welterweight
70,Athletics,Athletics Women's Javelin Throw
71,Wrestling,"Wrestling Men's Heavyweight, Freestyle"
72,Taekwondo,Taekwondo Men's Flyweight
73,Boxing,Boxing Men's Heavyweight
74,Athletics,"Athletics Men's 5,000 metres"
75,Cycling,"Cycling Men's Road Race, Individual"
76,Cycling,"Cycling Men's Road Race, Team"
77,Weightlifting,Weightlifting Men's Lightweight
78,Weightlifting,Weightlifting Men's Middleweight
79,Rowing,Rowing Men's Coxless Pairs
80,Judo,Judo Men's Half-Middleweight
