1,1992,Summer,Barcelona
2,2012,Summer,London
3,1920,Summer,Antwerpen
4,1900,Summer,Paris
5,1988,Winter,Calgary
6,1992,Winter,Albertville
7,1994,Winter,Lillehammer
8,1932,Summer,Los Angeles
9,2002,Winter,Salt Lake City
10,1952,Summer,Helsinki
11,1980,Winter,Lake Placid
12,2000,Summer,Sydney
13,1996,Summer,Atlanta
14,1912,Summer,Stockholm
15,1924,Summer,Paris
16,2014,Winter,Sochi
17,1948,Summer,London
18,1998,Winter,Nagano
19,2006,Winter,Torino
20,2008,Summer,Beijing
21,2016,Summer,Rio de Janeiro
22,2004,Summer,Athina
23,1960,Winter,Squaw Valley
24,1964,Winter,Innsbruck
25,1984,Winter,Sarajevo
26,1984,Summer,Los Angeles
27,1968,Summer,Mexico City
28,1972,Summer,Munich
29,1988,Summer,Seoul
30,1936,Summer,Berlin
31,1952,Winter,Oslo
32,1956,Winter,Cortina d'Ampezzo
33,1956,Summer,Melbourne
34,1960,Summer,Roma
35,1928,Summer,Amsterdam
36,1976,Summer,Montreal
37,1980,Summer,Moskva
38,1964,Summer,Tokyo
39,2010,Winter,Vancouver
40,1968,Winter,Grenoble
41,1906,Summer,Athina
42,1972,Winter,Sapporo
43,1976,Winter,Innsbruck
44,1924,Winter,Chamonix
45,1904,Summer,St. Louis
46,1928,Winter,Sankt Moritz
47,1908,Summer,London
48,1948,Winter,Sankt Moritz
49,1932,Winter,Lake Placid
50,1936,Winter,Garmisch-Partenkirchen
51,1896,Summer,Athina
